file	taxid	url
GCF_001010485.1_ASM101048v1_genomic.fna	1522671	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/010/485/GCF_001010485.1_ASM101048v1/GCF_001010485.1_ASM101048v1_genomic.fna.gz
GCF_001596115.1_ASM159611v1_genomic.fna	1813821	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/596/115/GCF_001596115.1_ASM159611v1/GCF_001596115.1_ASM159611v1_genomic.fna.gz
GCF_001941805.1_ASM194180v1_genomic.fna	40215	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/941/805/GCF_001941805.1_ASM194180v1/GCF_001941805.1_ASM194180v1_genomic.fna.gz
GCF_000192865.1_ASM19286v1_genomic.fna	717774	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/865/GCF_000192865.1_ASM19286v1/GCF_000192865.1_ASM19286v1_genomic.fna.gz
GCF_004101785.1_ASM410178v1_genomic.fna	1582259	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/101/785/GCF_004101785.1_ASM410178v1/GCF_004101785.1_ASM410178v1_genomic.fna.gz
GCF_004299845.1_ASM429984v1_genomic.fna	2488809	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/299/845/GCF_004299845.1_ASM429984v1/GCF_004299845.1_ASM429984v1_genomic.fna.gz
GCF_002022125.1_ASM202212v1_genomic.fna	1756150	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/125/GCF_002022125.1_ASM202212v1/GCF_002022125.1_ASM202212v1_genomic.fna.gz
GCF_000226315.1_ASM22631v1_genomic.fna	856793	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/315/GCF_000226315.1_ASM22631v1/GCF_000226315.1_ASM22631v1_genomic.fna.gz
GCF_000348745.1_ASM34874v1_genomic.fna	349215	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/745/GCF_000348745.1_ASM34874v1/GCF_000348745.1_ASM34874v1_genomic.fna.gz
GCF_000747565.1_ASM74756v1_genomic.fna	488142	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/565/GCF_000747565.1_ASM74756v1/GCF_000747565.1_ASM74756v1_genomic.fna.gz
GCF_000021905.1_ASM2190v1_genomic.fna	218208	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/905/GCF_000021905.1_ASM2190v1/GCF_000021905.1_ASM2190v1_genomic.fna.gz
GCF_900119705.1_PRJEB14245_genomic.fna	1852373	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/705/GCF_900119705.1_PRJEB14245/GCF_900119705.1_PRJEB14245_genomic.fna.gz
GCF_001007005.1_Pseudomonas_sp._strain_CCOS_191_genomic.fna	1649877	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/005/GCF_001007005.1_Pseudomonas_sp._strain_CCOS_191/GCF_001007005.1_Pseudomonas_sp._strain_CCOS_191_genomic.fna.gz
GCF_001577365.1_ASM157736v1_genomic.fna	1795630	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/365/GCF_001577365.1_ASM157736v1/GCF_001577365.1_ASM157736v1_genomic.fna.gz
GCF_001577265.1_ASM157726v1_genomic.fna	1795631	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/577/265/GCF_001577265.1_ASM157726v1/GCF_001577265.1_ASM157726v1_genomic.fna.gz
