sample	patient
SRR5023477	BC05
SRR5023478	BC05
SRR5023479	BC05
SRR5023480	BC05
SRR5023481	BC05
SRR5023482	BC05
SRR5023483	BC05
SRR5023484	BC05
SRR5023485	BC05
SRR5023486	BC05
SRR5023487	BC05
SRR5023488	BC05
SRR5023489	BC05
SRR5023490	BC05
SRR5023491	BC05
SRR5023492	BC05
SRR5023493	BC05
SRR5023494	BC05
SRR5023495	BC05
SRR5023496	BC05
SRR5023497	BC05
SRR5023498	BC05
SRR5023499	BC05
SRR5023500	BC05
SRR5023501	BC05
SRR5023502	BC05
SRR5023503	BC05
SRR5023504	BC05
SRR5023505	BC05
SRR5023506	BC05
SRR5023507	BC05
SRR5023508	BC05
SRR5023509	BC05
SRR5023510	BC05
SRR5023511	BC05
SRR5023512	BC05
SRR5023513	BC05
SRR5023514	BC05
SRR5023515	BC05
SRR5023516	BC05
SRR5023517	BC05
SRR5023518	BC05
SRR5023519	BC05
SRR5023520	BC05
SRR5023521	BC05
SRR5023522	BC05
SRR5023523	BC05
SRR5023524	BC05
SRR5023525	BC05
SRR5023526	BC05
SRR5023527	BC05
SRR5023528	BC05
SRR5023529	BC05
SRR5023530	BC05
SRR5023531	BC05
SRR5023532	BC05
SRR5023533	BC06
SRR5023534	BC06
SRR5023535	BC06
SRR5023536	BC06
SRR5023537	BC06
SRR5023538	BC06
SRR5023539	BC06
SRR5023540	BC06
SRR5023541	BC06
SRR5023542	BC06
SRR5023543	BC06
SRR5023544	BC06
SRR5023545	BC06
SRR5023546	BC06
SRR5023547	BC06
SRR5023548	BC06
SRR5023549	BC06
SRR5023550	BC06
SRR5023551	BC06
SRR5023552	BC06
SRR5023553	BC06
SRR5023554	BC06
SRR5023555	BC06
SRR5023556	BC06
SRR5023557	BC06
SRR5023558	BC07
SRR5023559	BC07
SRR5023560	BC07
SRR5023561	BC07LN
SRR5023562	BC07LN
SRR5023563	BC08
SRR5023564	BC08
SRR5023565	BC08
SRR5023566	BC08
SRR5023567	BC08
SRR5023568	BC08
SRR5023569	BC08
SRR5023570	BC08
SRR5023571	BC08
SRR5023572	BC08
SRR5023573	BC08
SRR5023574	BC08
SRR5023575	BC08
SRR5023576	BC08
SRR5023577	BC08
SRR5023578	BC08
SRR5023579	BC08
SRR5023580	BC08
SRR5023581	BC08
SRR5023582	BC08
SRR5023583	BC08
SRR5023584	BC08
SRR5023585	BC08
SRR5023586	BC09
SRR5023587	BC09
SRR5023588	BC09
SRR5023589	BC09
SRR5023590	BC09
SRR5023591	BC09
SRR5023592	BC09
SRR5023593	BC09
SRR5023594	BC09
SRR5023595	BC09
SRR5023596	BC09
SRR5023597	BC09
SRR5023598	BC09
SRR5023599	BC09
SRR5023600	BC09
SRR5023601	BC09
SRR5023602	BC09
SRR5023603	BC09
SRR5023604	BC09
SRR5023605	BC09
SRR5023606	BC09
SRR5023607	BC09
SRR5023608	BC09
SRR5023609	BC09
SRR5023610	BC09
SRR5023611	BC09
SRR5023612	BC09
SRR5023613	BC09
SRR5023614	BC09
SRR5023615	BC09_Re
SRR5023616	BC09_Re
SRR5023617	BC09_Re
SRR5023618	BC09_Re
SRR5023619	BC09_Re
SRR5023620	BC09_Re
SRR5023621	BC09_Re
SRR5023622	BC09_Re
SRR5023623	BC09_Re
SRR5023624	BC09_Re
SRR5023625	BC09_Re
SRR5023626	BC09_Re
SRR5023627	BC09_Re
SRR5023628	BC09_Re
SRR5023629	BC09_Re
SRR5023630	BC09_Re
SRR5023631	BC09_Re
SRR5023632	BC09_Re
SRR5023633	BC09_Re
SRR5023634	BC09_Re
SRR5023635	BC09_Re
SRR5023636	BC09_Re
SRR5023637	BC09_Re
SRR5023638	BC09_Re
SRR5023639	BC09_Re
SRR5023640	BC09_Re
SRR5023641	BC09_Re
SRR5023642	BC09_Re
SRR5023643	BC09_Re
SRR5023644	BC09_Re
SRR5023645	BC09_Re
SRR5023646	BC10
SRR5023647	BC10
SRR5023648	BC10
SRR5023649	BC10
SRR5023650	BC10
SRR5023651	BC10
SRR5023652	BC10
SRR5023653	BC10
SRR5023654	BC10
SRR5023655	BC10
SRR5023656	BC10
SRR5023657	BC10
SRR5023658	BC10
SRR5023659	BC10
SRR5023660	BC10
SRR5023661	BC10
SRR5023662	BC11
SRR5023663	BC11
SRR5023664	BC11
SRR5023665	BC11
SRR5023666	BC11
SRR5023667	BC11
SRR5023668	BC11
SRR5023669	BC11
SRR5023670	BC11
SRR5023671	BC11
SRR5023672	BC11
