sample	type	index	index2	index3
BC05_69	SC	Tumor	Tumor	Tumor
BC05_70	SC	Tumor	Tumor	Tumor
BC05_71	SC	Tumor	Tumor	Tumor
BC05_72	SC	Tumor	Tumor	Tumor
BC05_73	SC	Tumor	Tumor	Tumor
BC05_74	SC	nonTumor	Stromal	Stromal
BC05_75	SC	Tumor	Tumor	Tumor
BC05_77	SC	Tumor	Tumor	Tumor
BC05_78	SC	Tumor	Tumor	Tumor
BC05_79	SC	Tumor	Tumor	Tumor
BC05_80	SC	Tumor	Tumor	Tumor
BC05_81	SC	Tumor	Tumor	Tumor
BC05_83	SC	Tumor	Tumor	Tumor
BC05_84	SC	Tumor	Tumor	Tumor
BC05_85	SC	Tumor	Tumor	Tumor
BC05_86	SC	Tumor	Tumor	Tumor
BC05_87	SC	Tumor	Tumor	Tumor
BC05_88	SC	Tumor	Tumor	Tumor
BC05_90	SC	Tumor	Tumor	Tumor
BC05_91	SC	Tumor	Tumor	Tumor
BC05_92	SC	Tumor	Tumor	Tumor
BC05_93	SC	Tumor	Tumor	Tumor
BC05_94	SC	Tumor	Tumor	Tumor
BC05_95	SC	Tumor	Tumor	Tumor
BC05_96	SC	Tumor	Tumor	Tumor
BC05_Pooled	Bulk	Tumor	Tumor	Tumor
BC11_01	SC	Tumor	Tumor	Tumor
BC11_04	SC	Tumor	Tumor	Tumor
BC11_07	SC	Tumor	Tumor	Tumor
BC11_28	SC	Tumor	Tumor	Tumor
BC11_43	SC	Tumor	Tumor	Tumor
BC11_56	SC	Tumor	Tumor	Tumor
BC11_69	SC	Tumor	Tumor	Tumor
BC11_70	SC	Tumor	Tumor	Tumor
BC11_78	SC	Tumor	Tumor	Tumor
BC11_81	SC	Tumor	Tumor	Tumor
BC11_88	SC	Tumor	Tumor	Tumor
BC11_Pooled	Bulk	Tumor	Tumor	Tumor
BC06_04	SC	nonTumor	Immune	Bcell
BC06_08	SC	nonTumor	Stromal	Stromal
BC06_10	SC	Tumor	Tumor	Tumor
BC06_21	SC	nonTumor	Immune	Bcell
BC06_23	SC	Tumor	Tumor	Tumor
BC06_25	SC	nonTumor	Immune	Bcell
BC06_26	SC	nonTumor	Immune	Bcell
BC06_27	SC	Tumor	Tumor	Tumor
BC06_28	SC	Tumor	Tumor	Tumor
BC06_29	SC	nonTumor	Immune	Bcell
BC06_32	SC	Tumor	Tumor	Tumor
BC06_39	SC	Tumor	Tumor	Tumor
BC06_40	SC	nonTumor	Immune	Bcell
BC06_43	SC	nonTumor	Stromal	Stromal
BC06_58	SC	nonTumor	Immune	Bcell
BC06_60	SC	Tumor	Tumor	Tumor
BC06_61	SC	nonTumor	Immune	Bcell
BC06_74	SC	Tumor	Tumor	Tumor
BC06_Pooled	Bulk	nonTumor	Immune	Immune
