patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C139	C139_N_1_1_1_c1_v2	No	SRR15653000	C139_N_1_1_1_c1_v2_HV22KCCXY L005	CD45pMACS	v2
C139	C139_N_1_1_1_c1_v2	No	SRR15653200	C139_N_1_1_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C139	C139_N_1_1_1_c1_v2	No	SRR15653201	C139_N_1_1_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C139	C139_N_1_1_1_c1_v2	No	SRR15653202	C139_N_1_1_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C139	C139_N_1_1_1_c1_v2	No	SRR15653203	C139_N_1_1_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C139	C139_T_1_1_0_c1_v2	Yes	SRR15653001	C139_T_1_1_0_c1_v2_HV22KCCXY L007	unsorted	v2
C139	C139_T_1_1_0_c1_v2	Yes	SRR15653204	C139_T_1_1_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C139	C139_T_1_1_0_c1_v2	Yes	SRR15653205	C139_T_1_1_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C139	C139_T_1_1_0_c1_v2	Yes	SRR15653206	C139_T_1_1_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C139	C139_T_1_1_0_c1_v2	Yes	SRR15653207	C139_T_1_1_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C139	C139_T_1_1_0_c2_v2	Yes	SRR15653002	C139_T_1_1_0_c2_v2_HV22KCCXY L008	unsorted	v2
C139	C139_T_1_1_0_c2_v2	Yes	SRR15653208	C139_T_1_1_0_c2_v2_H5TVMBGX7 L001	unsorted	v2
C139	C139_T_1_1_0_c2_v2	Yes	SRR15653209	C139_T_1_1_0_c2_v2_H5TVMBGX7 L002	unsorted	v2
C139	C139_T_1_1_0_c2_v2	Yes	SRR15653210	C139_T_1_1_0_c2_v2_H5TVMBGX7 L003	unsorted	v2
C139	C139_T_1_1_0_c2_v2	Yes	SRR15653211	C139_T_1_1_0_c2_v2_H5TVMBGX7 L004	unsorted	v2
C139	C139_T_1_1_1_c1_v2	Yes	SRR15653003	C139_T_1_1_1_c1_v2_HV22KCCXY L004	CD45pMACS	v2
C139	C139_T_1_1_1_c1_v2	Yes	SRR15653212	C139_T_1_1_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C139	C139_T_1_1_1_c1_v2	Yes	SRR15653213	C139_T_1_1_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C139	C139_T_1_1_1_c1_v2	Yes	SRR15653214	C139_T_1_1_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C139	C139_T_1_1_1_c1_v2	Yes	SRR15653215	C139_T_1_1_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C140	C140_N_1_1_0_c1_v2	No	SRR15653004	C140_N_1_1_0_c1_v2_HV22KCCXY L003	unsorted	v2
C140	C140_N_1_1_0_c1_v2	No	SRR15653216	C140_N_1_1_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C140	C140_N_1_1_0_c1_v2	No	SRR15653217	C140_N_1_1_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C140	C140_N_1_1_0_c1_v2	No	SRR15653218	C140_N_1_1_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C140	C140_N_1_1_0_c1_v2	No	SRR15653219	C140_N_1_1_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C140	C140_T_1_1_0_c1_v2	Yes	SRR15653005	C140_T_1_1_0_c1_v2_HW5TJCCXY L008	unsorted	v2
C140	C140_T_1_1_0_c1_v2	Yes	SRR15653220	C140_T_1_1_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C140	C140_T_1_1_0_c1_v2	Yes	SRR15653221	C140_T_1_1_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C140	C140_T_1_1_0_c1_v2	Yes	SRR15653222	C140_T_1_1_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C140	C140_T_1_1_0_c1_v2	Yes	SRR15653223	C140_T_1_1_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C140	C140_T_1_1_1_c1_v2	Yes	SRR15653006	C140_T_1_1_1_c1_v2_HTYWNCCXY L007	CD45pMACS	v2
C140	C140_T_1_1_1_c1_v2	Yes	SRR15653224	C140_T_1_1_1_c1_v2_H5TVMBGX7 L001	CD45pMACS	v2
C140	C140_T_1_1_1_c1_v2	Yes	SRR15653225	C140_T_1_1_1_c1_v2_H5TVMBGX7 L002	CD45pMACS	v2
C140	C140_T_1_1_1_c1_v2	Yes	SRR15653226	C140_T_1_1_1_c1_v2_H5TVMBGX7 L003	CD45pMACS	v2
C140	C140_T_1_1_1_c1_v2	Yes	SRR15653227	C140_T_1_1_1_c1_v2_H5TVMBGX7 L004	CD45pMACS	v2
C140	C140_T_1_1_1_c2_v2	Yes	SRR15653007	C140_T_1_1_1_c2_v2_HTYWNCCXY L007	CD45pMACS	v2
C140	C140_T_1_1_1_c2_v2	Yes	SRR15653228	C140_T_1_1_1_c2_v2_H5TVMBGX7 L001	CD45pMACS	v2
C140	C140_T_1_1_1_c2_v2	Yes	SRR15653229	C140_T_1_1_1_c2_v2_H5TVMBGX7 L002	CD45pMACS	v2
C140	C140_T_1_1_1_c2_v2	Yes	SRR15653230	C140_T_1_1_1_c2_v2_H5TVMBGX7 L003	CD45pMACS	v2
C140	C140_T_1_1_1_c2_v2	Yes	SRR15653231	C140_T_1_1_1_c2_v2_H5TVMBGX7 L004	CD45pMACS	v2
C142	C142_N_1_1_0_c1_v2	No	SRR15653008	C142_N_1_1_0_c1_v2_HV22KCCXY L004	unsorted	v2
C142	C142_N_1_1_0_c1_v2	No	SRR15653232	C142_N_1_1_0_c1_v2_HW7JMBGX7 L001	unsorted	v2
C142	C142_N_1_1_0_c1_v2	No	SRR15653233	C142_N_1_1_0_c1_v2_HW7JMBGX7 L002	unsorted	v2
C142	C142_N_1_1_0_c1_v2	No	SRR15653234	C142_N_1_1_0_c1_v2_HW7JMBGX7 L003	unsorted	v2
C142	C142_N_1_1_0_c1_v2	No	SRR15653235	C142_N_1_1_0_c1_v2_HW7JMBGX7 L004	unsorted	v2
C142	C142_T_1_1_0_c1_v2	Yes	SRR15653009	C142_T_1_1_0_c1_v2_HW7HKCCXY L004	unsorted	v2
C142	C142_T_1_1_0_c1_v2	Yes	SRR15653236	C142_T_1_1_0_c1_v2_HW7JMBGX7 L001	unsorted	v2
C142	C142_T_1_1_0_c1_v2	Yes	SRR15653237	C142_T_1_1_0_c1_v2_HW7JMBGX7 L002	unsorted	v2
C142	C142_T_1_1_0_c1_v2	Yes	SRR15653238	C142_T_1_1_0_c1_v2_HW7JMBGX7 L003	unsorted	v2
C142	C142_T_1_1_0_c1_v2	Yes	SRR15653239	C142_T_1_1_0_c1_v2_HW7JMBGX7 L004	unsorted	v2
C142	C142_T_1_1_1_c1_v2	Yes	SRR15653010	C142_T_1_1_1_c1_v2_HV22KCCXY L003	CD45pMACS	v2
C142	C142_T_1_1_1_c1_v2	Yes	SRR15653240	C142_T_1_1_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C142	C142_T_1_1_1_c1_v2	Yes	SRR15653241	C142_T_1_1_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C142	C142_T_1_1_1_c1_v2	Yes	SRR15653242	C142_T_1_1_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C142	C142_T_1_1_1_c1_v2	Yes	SRR15653243	C142_T_1_1_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C143	C143_N_1_1_0_c1_v2	No	SRR15653011	C143_N_1_1_0_c1_v2_H2W7JCCX2 L004	unsorted	v2
C143	C143_N_1_1_0_c1_v2	No	SRR15653244	C143_N_1_1_0_c1_v2_H2357BGX9 L001	unsorted	v2
