patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C164	C164_T_1_1_0_c1_v3	Yes	SRR15653080	C164_T_1_1_0_c1_v3_HWTWCCCXY L008	unsorted	v3
C165	C165_N_0_0_0_c1_v3	No	SRR15653081	C165_N_0_0_0_c1_v3_H2TNCCCX2 L007	unsorted	v3
C165	C165_T_0_0_0_c1_v3	Yes	SRR15653082	C165_T_0_0_0_c1_v3_H2TNCCCX2 L007	unsorted	v3
C165	C165_T_0_0_0_c1_v3	Yes	SRR15653083	C165_T_0_0_0_c1_v3_H72HCCCX2 L005	unsorted	v3
C165	C165_T_0_0_1_c1_v3	Yes	SRR15653084	C165_T_0_0_1_c1_v3_H2TT2CCX2 L001	CD45pMACS	v3
C166	C166_T_0_0_0_c1_v3	Yes	SRR15653085	C166_T_0_0_0_c1_v3_H72F2CCX2 L001	unsorted	v3
C166	C166_T_0_0_0_c1_v3	Yes	SRR15653086	C166_T_0_0_0_c1_v3_H72F2CCX2 L002	unsorted	v3
C166	C166_T_0_0_0_c1_v3	Yes	SRR15653087	C166_T_0_0_0_c1_v3_H72F2CCX2 L003	unsorted	v3
C166	C166_T_0_0_0_c1_v3	Yes	SRR15653088	C166_T_0_0_0_c1_v3_HWTWCCCXY L008	unsorted	v3
C167	C167_T_1_1_0_c1_v3	Yes	SRR15653089	C167_T_1_1_0_c1_v3_H2TT2CCX2 L001	unsorted	v3
C168	C168_T_1_1_0_c1_v3	Yes	SRR15653090	C168_T_1_1_0_c1_v3_H2TT2CCX2 L001	unsorted	v3
C168	C168_T_1_1_0_c1_v3	Yes	SRR15653091	C168_T_1_1_0_c1_v3_H72HCCCX2 L006	unsorted	v3
C169	C169_T_1_1_0_c1_v3	Yes	SRR15653092	C169_T_1_1_0_c1_v3_H2TT2CCX2 L001	unsorted	v3
C169	C169_T_1_1_0_c1_v3	Yes	SRR15653093	C169_T_1_1_0_c1_v3_H72HCCCX2 L004	unsorted	v3
C170	C170_N_0_0_0_c1_v3	No	SRR15653094	C170_N_0_0_0_c1_v3_H5M2NCCX2 L001	unsorted	v3
C170	C170_T_0_0_0_c1_v3	Yes	SRR15653095	C170_T_0_0_0_c1_v3_H5M2NCCX2 L001	unsorted	v3
C170	C170_T_0_0_0_c1_v3	Yes	SRR15653096	C170_T_0_0_0_c1_v3_H72HCCCX2 L007	unsorted	v3
C170	C170_T_0_0_0_c1_v3	Yes	SRR15653097	C170_T_0_0_0_c1_v3_H72HCCCX2 L008	unsorted	v3
C170	C170_T_0_0_1_c1_v3	Yes	SRR15653098	C170_T_0_0_1_c1_v3_H5M2NCCX2 L001	CD45pMACS	v3
C170	C170_T_0_0_1_c1_v3	Yes	SRR15653099	C170_T_0_0_1_c1_v3_H72HCCCX2 L005	CD45pMACS	v3
C171	C171_TA_1_1_0_c1_v3	Yes	SRR15653100	C171_TA_1_1_0_c1_v3_H5M2NCCX2 L004	unsorted	v3
C171	C171_TA_1_1_0_c1_v3	Yes	SRR15653101	C171_TA_1_1_0_c1_v3_H72HCCCX2 L007	unsorted	v3
C171	C171_TA_1_1_0_c1_v3	Yes	SRR15653102	C171_TA_1_1_0_c1_v3_H72HCCCX2 L008	unsorted	v3
C171	C171_TA_1_1_1_c1_v3	Yes	SRR15653103	C171_TA_1_1_1_c1_v3_H5M2NCCX2 L004	CD45pMACS	v3
