sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5102368	NextSeq 500	Smart-seq2	26993528	NextSeq 500	PAIRED	Pt0
SRR5102369	NextSeq 500	Smart-seq2	24722572	NextSeq 500	PAIRED	Pt0
SRR5102370	NextSeq 500	Smart-seq2	23525800	NextSeq 500	PAIRED	Pt0
SRR5102371	NextSeq 500	Smart-seq2	18861148	NextSeq 500	PAIRED	Pt0
SRR5102372	NextSeq 500	Smart-seq2	21449936	NextSeq 500	PAIRED	Pt0
SRR5102373	NextSeq 500	Smart-seq2	156067870	NextSeq 500	PAIRED	Pt0
SRR5102374	NextSeq 500	Smart-seq2	49279160	NextSeq 500	PAIRED	Pt0
SRR5102375	NextSeq 500	Smart-seq2	22415896	NextSeq 500	PAIRED	Pt0
SRR5102376	NextSeq 500	Smart-seq2	23120416	NextSeq 500	PAIRED	Pt0
SRR5102377	NextSeq 500	Smart-seq2	32839068	NextSeq 500	PAIRED	Pt0
SRR5102378	NextSeq 500	Smart-seq2	43069428	NextSeq 500	PAIRED	Pt0
SRR5102379	NextSeq 500	Smart-seq2	22618588	NextSeq 500	PAIRED	Pt0
SRR5102380	NextSeq 500	Smart-seq2	34515704	NextSeq 500	PAIRED	Pt0
SRR5102381	NextSeq 500	Smart-seq2	35311044	NextSeq 500	PAIRED	Pt0
SRR5102382	NextSeq 500	Smart-seq2	19588088	NextSeq 500	PAIRED	Pt0
SRR5102383	NextSeq 500	Smart-seq2	26430824	NextSeq 500	PAIRED	Pt0
SRR5102384	NextSeq 500	Smart-seq2	46187820	NextSeq 500	PAIRED	Pt0
SRR5102385	NextSeq 500	Smart-seq2	25220448	NextSeq 500	PAIRED	Pt0
SRR5102386	NextSeq 500	Smart-seq2	22165780	NextSeq 500	PAIRED	Pt0
SRR5102387	NextSeq 500	Smart-seq2	28206412	NextSeq 500	PAIRED	Pt0
SRR5102388	NextSeq 500	Smart-seq2	23350468	NextSeq 500	PAIRED	Pt0
SRR5102389	NextSeq 500	Smart-seq2	27019976	NextSeq 500	PAIRED	Pt0
SRR5102390	NextSeq 500	Smart-seq2	34570956	NextSeq 500	PAIRED	Pt0
SRR5102391	NextSeq 500	Smart-seq2	33925032	NextSeq 500	PAIRED	Pt0
SRR5102392	NextSeq 500	Smart-seq2	17790384	NextSeq 500	PAIRED	Pt0
SRR5102393	NextSeq 500	Smart-seq2	31736840	NextSeq 500	PAIRED	Pt0
SRR5102394	NextSeq 500	Smart-seq2	15043516	NextSeq 500	PAIRED	Pt0
SRR5102395	NextSeq 500	Smart-seq2	56090720	NextSeq 500	PAIRED	Pt0
SRR5102396	NextSeq 500	Smart-seq2	18889268	NextSeq 500	PAIRED	Pt0
SRR5102397	NextSeq 500	Smart-seq2	17505612	NextSeq 500	PAIRED	Pt0
SRR5102398	NextSeq 500	Smart-seq2	21422500	NextSeq 500	PAIRED	Pt0
SRR5102399	NextSeq 500	Smart-seq2	40594716	NextSeq 500	PAIRED	Pt0
SRR5102400	NextSeq 500	Smart-seq2	27788716	NextSeq 500	PAIRED	Pt0
SRR5102401	NextSeq 500	Smart-seq2	37710972	NextSeq 500	PAIRED	Pt0
SRR5102402	NextSeq 500	Smart-seq2	17093464	NextSeq 500	PAIRED	Pt0
SRR5102403	NextSeq 500	Smart-seq2	5406032	NextSeq 500	PAIRED	Pt0
SRR5102404	NextSeq 500	Smart-seq2	41357300	NextSeq 500	PAIRED	Pt0
SRR5102405	NextSeq 500	Smart-seq2	23501784	NextSeq 500	PAIRED	Pt0
SRR5102406	NextSeq 500	Smart-seq2	78741950	NextSeq 500	PAIRED	Pt0
SRR5102407	NextSeq 500	Smart-seq2	17768572	NextSeq 500	PAIRED	Pt0
SRR5102408	NextSeq 500	Smart-seq2	20389736	NextSeq 500	PAIRED	Pt0
SRR5102409	NextSeq 500	Smart-seq2	16600528	NextSeq 500	PAIRED	Pt0
SRR5102410	NextSeq 500	Smart-seq2	12033992	NextSeq 500	PAIRED	Pt0
SRR5102411	NextSeq 500	Smart-seq2	27250712	NextSeq 500	PAIRED	Pt0
SRR5102412	NextSeq 500	Smart-seq2	27878016	NextSeq 500	PAIRED	Pt0
SRR5102413	NextSeq 500	Smart-seq2	22979056	NextSeq 500	PAIRED	Pt0
SRR5102414	NextSeq 500	Smart-seq2	46260896	NextSeq 500	PAIRED	Pt0
SRR5102415	NextSeq 500	Smart-seq2	15327452	NextSeq 500	PAIRED	Pt0
SRR5102416	NextSeq 500	Smart-seq2	26306260	NextSeq 500	PAIRED	Pt0
SRR5102417	NextSeq 500	Smart-seq2	50077580	NextSeq 500	PAIRED	Pt0
SRR5102418	NextSeq 500	Smart-seq2	22140472	NextSeq 500	PAIRED	Pt0
SRR5102419	NextSeq 500	Smart-seq2	20776196	NextSeq 500	PAIRED	Pt0
SRR5102420	NextSeq 500	Smart-seq2	17296992	NextSeq 500	PAIRED	Pt0
SRR5102421	NextSeq 500	Smart-seq2	20028964	NextSeq 500	PAIRED	Pt0
SRR5102422	NextSeq 500	Smart-seq2	10395964	NextSeq 500	PAIRED	Pt0
