patient	sample	cell	plate	nCount_RNA	nFeature_RNA	nCount_ERCC	nFeature_ERCC	ERCC_Conc	Condition	ExpectNumCells	Cell_Type	Cell_Type_and_Condition	percent.mt	percent.ercc
P1	S1	P1_G07_S55	P1	6424.0	1571	4	3	1^7	Uninfected	1	THP1	THP1-uninfected	8.522727273	0.062227754
P1	S1	P1_G08_S63	P1	10148269.8	10636	6089	16	1^7	Uninfected	1	HCT116	HCT116-uninfected	14.28842442	0.059964397
P1	S1	P1_G10_S79	P1	8155320.87	7747	7971	13	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.56800738	0.097644432
P1	S1	P1_G11_S87	P1	11227550.84	11019	5228	12	1^7	Uninfected	1	HCT116	HCT116-uninfected	10.38992703	0.046542357
P1	S1	P1_G12_S95	P1	9429586.08	9306	6456	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	9.118997088	0.068418516
P1	S1	P1_H02_S16	P1	120416.98	6478	59	7	1^7	blank	0	blank	blank	8.216449208	0.048972418
P1	S1	P1_H03_S24	P1	4390878.04	10768	1723	10	1^7	Uninfected	1	THP1	THP1-uninfected	8.351559453	0.039225051
P1	S1	P1_H04_S32	P1	4456444.0	10091	2897	15	1^7	Uninfected	1	THP1	THP1-uninfected	7.872839196	0.064964756
P1	S1	P1_H05_S40	P1	4504662.99	9172	3873	10	1^7	Uninfected	1	THP1	THP1-uninfected	8.174369999	0.085903717
P1	S1	P1_H06_S48	P1	2155358.89	7316	3528	12	1^7	Uninfected	1	THP1	THP1-uninfected	11.48799957	0.163417547
P1	S1	P1_H07_S56	P1	5874.01	1702	4	2	1^7	Uninfected	1	THP1	THP1-uninfected	9.210062632	0.068050241
P1	S1	P1_H08_S64	P1	7513957.95	9861	4926	12	1^7	Uninfected	1	HCT116	HCT116-uninfected	10.95462891	0.065515042
P1	S1	P1_H10_S80	P1	10086410.75	9925	5391	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	16.518489	0.053419599
P1	S1	P1_H11_S88	P1	8969709.79	11304	3131	13	1^7	Uninfected	1	HCT116	HCT116-uninfected	15.12614847	0.034894189
P1	S1	P1_H12_S96	P1	7344978.1	8179	9789	12	1^7	Uninfected	1	HCT116	HCT116-uninfected	7.008291693	0.133097349
P1	S1	P2_A02_S105	P2	7819656.86	10794	4010	13	1^7	Uninfected	1	THP1	THP1- uninfected	5.760193677	0.051254739
P1	S1	P2_A03_S113	P2	7793263.96	12230	3801	16	1^7	Uninfected	1	THP1	THP1- uninfected	5.092718943	0.048749113
P1	S1	P2_A05_S129	P2	8593792.87	10175	5965	14	1^7	Uninfected	1	THP1	THP1- uninfected	6.418355182	0.069362418
P1	S1	P2_A06_S137	P2	6439360.0	9601	4863	14	1^7	Uninfected	1	THP1	THP1- uninfected	5.784325927	0.075462938
P1	S1	P2_A07_S145	P2	9017038.78	11222	3584	15	1^7	Uninfected	1	HCT116	HCT116- uninfected	10.48205872	0.039731181
P1	S1	P2_A08_S153	P2	33734.98	4161	20	4	1^7	Uninfected	1	HCT116	HCT116- uninfected	8.242423739	0.059250517
P1	S1	P2_A09_S161	P2	7414595.81	10127	4820	16	1^7	Uninfected	1	HCT116	HCT116- uninfected	10.41084949	0.064964684
P1	S1	P2_A10_S169	P2	9660430.96	10556	6241	16	1^7	Uninfected	1	HCT116	HCT116- uninfected	9.938314905	0.064562034
P1	S1	P2_A11_S177	P2	6053538.84	9407	5734	15	1^7	Uninfected	1	HCT116	HCT116- uninfected	10.19062314	0.094631817
P1	S1	P2_A12_S185	P2	8884977.17	12310	2095	13	1^7	Uninfected	1	HCT116	HCT116- uninfected	12.0537909	0.023573568
P1	S1	P2_B03_S114	P2	5803329.95	7694	6074	14	1^7	Bystander	1	THP1	THP1-bystander	6.852408935	0.104554616
P1	S1	P2_B04_S122	P2	4367737.0	8588	3950	13	1^7	Bystander	1	THP1	THP1-bystander	6.653193175	0.090354136
P1	S1	P2_B05_S130	P2	11635941.97	11551	4777	13	1^7	Bystander	1	THP1	THP1-bystander	7.450067405	0.041036984
P1	S1	P2_B07_S146	P2	9050941.03	10263	5976	14	1^7	Bystander	1	HCT116	HCT116-bystander	10.82303174	0.065982718
P1	S1	P2_B08_S154	P2	56182.02	4935	26	5	1^7	Bystander	1	HCT116	HCT116-bystander	9.759830636	0.046256744
P1	S1	P2_B09_S162	P2	6597241.93	8950	7391	13	1^7	Bystander	1	HCT116	HCT116-bystander	10.3304291	0.111906295
P1	S1	P2_B11_S178	P2	9648463.97	10693	3189	12	1^7	Bystander	1	HCT116	HCT116-bystander	9.856825324	0.033040972
P1	S1	P2_B12_S186	P2	6110670.03	8348	12137	15	1^7	Bystander	1	HCT116	HCT116-bystander	17.1883444	0.198226074
P1	S1	P2_C02_S107	P2	8391871.99	9023	7190	12	1^7	Bystander	1	THP1	THP1-bystander	7.086062451	0.085604797
P1	S1	P2_C03_S115	P2	7191352.82	8928	9959	15	1^7	Bystander	1	THP1	THP1-bystander	8.202817255	0.138294248
P1	S1	P2_C04_S123	P2	6936507.16	10132	2964	11	1^7	Bystander	1	THP1	THP1-bystander	7.03068286	0.042712188
P1	S1	P2_C05_S131	P2	6504541.82	10984	2822	11	1^7	Bystander	1	THP1	THP1-bystander	8.483622141	0.043366255
P1	S1	P2_C06_S139	P2	9585317.84	10630	7082	17	1^7	Bystander	1	THP1	THP1-bystander	5.995794397	0.073829283
P1	S1	P2_C07_S147	P2	7983542.01	9126	6411	14	1^7	Bystander	1	HCT116	HCT116-bystander	10.0030202	0.080238269
P1	S1	P2_C08_S155	P2	41990.03	4515	18	7	1^7	Bystander	1	HCT116	HCT116-bystander	12.50525422	0.042848951
P1	S1	P2_C09_S163	P2	7572075.0	10544	3861	13	1^7	Bystander	1	HCT116	HCT116-bystander	11.6907112	0.050964
P1	S1	P2_C10_S171	P2	9277057.03	10570	4224	14	1^7	Bystander	1	HCT116	HCT116-bystander	11.6431522	0.045510959
P1	S1	P2_C11_S179	P2	7351081.89	10308	4370	14	1^7	Bystander	1	HCT116	HCT116-bystander	14.35751466	0.059411713
P1	S1	P2_C12_S187	P2	7589609.99	9919	4851	15	1^7	Bystander	1	HCT116	HCT116-bystander	9.020198546	0.063875501
