entity:sample_id	cellType	fastq1	fastq2	participant
cy106_CD45pos_S371	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S371_R1_001_1025.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S371_R2_001_1025.fastq.gz	Mel106
cy106_CD45pos_S379	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S379_R1_001_1026.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S379_R2_001_1026.fastq.gz	Mel106
cy106_CD45pos_S380	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S380_R1_001_1027.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S380_R2_001_1027.fastq.gz	Mel106
cy106_CD45pos_S381	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S381_R1_001_1028.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S381_R2_001_1028.fastq.gz	Mel106
cy110_CD45neg_CD90neg_S103	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S103_R1_001_2029.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S103_R2_001_2029.fastq.gz	Mel110
cy110_CD45neg_CD90neg_S106	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S106_R1_001_2030.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S106_R2_001_2030.fastq.gz	Mel110
cy110_CD45neg_CD90neg_S107	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S107_R1_001_2031.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S107_R2_001_2031.fastq.gz	Mel110
cy110_CD45neg_CD90neg_S11	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S11_R1_001_1731.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S11_R2_001_1731.fastq.gz	Mel110
cy110_CD45neg_CD90neg_S110	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S110_R1_001_2032.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S110_R2_001_2032.fastq.gz	Mel110
cy110_CD45neg_CD90neg_S114	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S114_R1_001_2033.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S114_R2_001_2033.fastq.gz	Mel110
cy110_CD45neg_CD90neg_S115	Mal	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S115_R1_001_2034.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy110_CD45neg_CD90neg_S115_R2_001_2034.fastq.gz	Mel110
